title,author,price,description
Python入門,山田 太郎,2800,プログラミング初心者向けのPython入門書。基礎から応用まで優しく解説。
Flask Web開発,鈴木 次郎,3200,PythonフレームワークFlaskを使ったWebアプリ開発の実践ガイド。
機械学習の教科書,佐藤 花子,4500,ディープラーニングを含む現代の機械学習理論を網羅した決定版。
データサイエンス超入門,田中 一郎,2200,データ分析の基礎知識をビジネスパーソン向けにわかりやすく解説。
React実践ガイド,高橋 健太,3500,モダンなフロントエンド開発に必須のReactフレームワークをマスター。
Dockerコンテナ構築,伊藤 博文,3000,開発環境から本番運用まで、Dockerコンテナ技術の全て。
クラウドインフラ設計,渡辺 陽子,3800,AWS/GCP/Azureを活用した堅牢なインフラ設計のノウハウ。
SQLゼロから始めるデータベース,中村 剛,2600,データベース操作の基本言語SQLをゼロから学ぶ。
アルゴリズム図鑑,小林 真一,2400,プログラミングに不可欠なアルゴリズムとデータ構造を視覚的に理解。
Linuxコマンドライン,加藤 秀樹,2900,サーバー管理に必須のLinuxコマンド操作を完全網羅。
Go言語プログラミング,松本 龍,3400,Google発のプログラミング言語Goの並行処理とパフォーマンスを学ぶ。
TypeScript実践,吉村 拓也,3100,JavaScriptに型安全性をもたらすTypeScriptの活用法。
アジャイル開発の極意,木村 さくら,2700,変化に強いチームを作るためのスクラム・アジャイル開発の手法。
UI/UXデザインの原則,佐々木 美咲,3300,使いやすく美しいインターフェースを作るためのデザイン理論。
セキュリティエンジニア入門,中島 健,3600,Webセキュリティの基本から脆弱性診断の手法まで。
自然言語処理の最前線,林 修平,4200,ChatGPTなどの基盤となるLLM技術とNLPの現在。
ブロックチェーン技術,森田 誠,3900,暗号資産を支えるブロックチェーンの仕組みと実装。
IoTプログラミング,岡田 淳,2500,Raspberry Piなどを使ったモノのインターネット開発入門。
Unityゲーム開発,石川 遼,3000,Unityを使った2D/3Dゲーム制作のチュートリアル。
統計学の基礎,藤田 恵,2300,データ分析に必要な統計学の基本概念を学ぶ。
DevOps導入ガイド,西村 聡,3200,開発と運用を一体化し、リリースサイクルを加速させるDevOpsの実践。
Kubernetes完全ガイド,大野 智,4800,コンテナオーケストレーションの事実上の標準、k8sの運用管理。
GraphQL API設計,三浦 奏,3400,REST APIに代わる柔軟なデータ取得言語GraphQLの設計と実装。
Rustプログラミング入門,長谷川 徹,3600,安全性と速度を両立するシステムプログラミング言語Rustの基礎。
モバイルアプリUIデザイン,今井 玲奈,2800,iOS/Androidアプリのユーザー体験を高めるデザインパターン。
Webマーケティングの教科書,岡本 太郎,2400,SEOからSNS運用まで、Webでの集客に必要な知識を網羅。
プロジェクトマネジメント標準,原田 哲也,2900,PMBOKに基づくプロジェクト管理のスタンダード。
Excel VBA自動化,村上 隆,2100,業務効率化のためのExcelマクロ・VBAプログラミング。
ネットワーク技術入門,野口 英世,3000,TCP/IPからHTTPまで、インターネットを支える技術の仕組み。
C#によるWindowsアプリ開発,黒田 官兵衛,3200,.NET Frameworkを使ったデスクトップアプリケーション開発。
